Name of Sea,Year,Value
Indian Ocean,2015,55.83756756756756
Indian Ocean,2016,47.81257142857143
Indian Ocean,2017,52.46254901960785
Indian Ocean,2018,54.20567567567567
Indian Ocean,2019,64.21108108108108
Indian Ocean,2020,66.99388888888889
Indian Ocean,2021,65.96783783783783
Indian Ocean,2022,73.52708333333334
North Atlantic,2015,40.38567567567568
North Atlantic,2016,48.18528571428571
North Atlantic,2017,43.36745098039215
North Atlantic,2018,62.03513513513514
North Atlantic,2019,66.62162162162163
North Atlantic,2020,69.09166666666667
North Atlantic,2021,73.56486486486487
North Atlantic,2022,51.63913043478261
Pacific Ocean,2015,50.160810810810815
Pacific Ocean,2016,53.473285714285716
Pacific Ocean,2017,51.59058823529411
Pacific Ocean,2018,57.292432432432435
Pacific Ocean,2019,62.281621621621625
Pacific Ocean,2020,63.12111111111111
Pacific Ocean,2021,67.94378378378379
Pacific Ocean,2022,62.04416666666666
South China,2015,28.50135135135135
South China,2016,40.49471428571429
South China,2017,67.31411764705882
South China,2018,47.24378378378378
South China,2019,53.73837837837838
South China,2020,72.71555555555557
South China,2021,86.80054054054054
South China,2022,85.94416666666666
Southern Ocean,2015,53.36783783783784
Southern Ocean,2016,53.508428571428574
Southern Ocean,2017,63.820392156862745
Southern Ocean,2018,60.414054054054056
Southern Ocean,2019,65.92486486486486
Southern Ocean,2020,66.44333333333333
Southern Ocean,2021,72.19513513513513
Southern Ocean,2022,77.92875
